name,adname,type,rating,cost,性价比,cluster,餐厅类型
大连海鲜烧烤(五福天虹购物中心B座店),上城区,餐饮服务;中餐厅;中餐厅,3.7,51,0.9364140163260725,0,平价高性价比型
阿勇烧烤(凯旋路店),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.5,72,1.0488387226882916,1,大众品质型
大郎烧烤海鲜大排档(凯旋路店),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.5,109,0.9573489621930121,1,大众品质型
新疆一只羊烧烤(景秋公寓店),上城区,餐饮服务;中餐厅;中餐厅,4.5,98,0.9792998108347917,1,大众品质型
甘王烧烤大排档,上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.1,21,1.3264133579095572,0,平价高性价比型
新疆兄弟烧烤(凯旋路店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.2,67,0.9953767817150383,1,大众品质型
一个串说(万泰城店),上城区,餐饮服务;中餐厅;中餐厅,4.6,80,1.046775110620863,1,大众品质型
丫头烧烤王,上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.4,82,0.995736300656929,1,大众品质型
靓小串·花甲螺蛳王(天虹店),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,3.6,104,0.7735347379738958,0,平价高性价比型
俊小橙臻牛鲜生(月季公寓店),上城区,餐饮服务;中餐厅;火锅店,3.9,51,0.9870309901815357,0,平价高性价比型
豚虎现烤日式烧肉丼(万泰城店),上城区,餐饮服务;外国餐厅;日本料理,4.1,52,1.0326696598819685,0,平价高性价比型
小杨小黄鱼超人龙虾(景芳店),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.6,87,1.0273964614690458,1,大众品质型
余记烤鱼·烧烤,上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.4,96,0.9618093953204145,1,大众品质型
黑淀儿烧烤(奥体店),萧山区,餐饮服务;餐饮相关场所;餐饮相关,4.6,74,1.065434317138697,1,大众品质型
卜卜串烧鸟·羊肉炉苍蝇馆(深蓝国际店),萧山区,餐饮服务;中餐厅;中餐厅,4.6,143,0.9255880900782426,1,大众品质型
李记烧烤龙虾馆(清泰商务楼店),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,3.8,88,0.8465822773313146,0,平价高性价比型
