排名,name,adname,type,rating,cost,性价比
366,泉市鲜活牛肉店(钱江新城店),上城区,餐饮服务;中餐厅;中餐厅,4.7,111,0.9961
367,你今天真好看(芳塘店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.7,111,0.9961
368,李白图书馆餐厅?杭帮菜名店(西湖大学店),西湖区,餐饮服务;中餐厅;中餐厅,4.7,112,0.9942
369,胡建小馆·地道客家菜,西湖区,餐饮服务;中餐厅;中餐厅,4.7,112,0.9942
370,佳友记·潮汕海鲜砂锅粥,萧山区,餐饮服务;中餐厅;潮州菜|餐饮服务;中餐厅;海鲜酒楼,4.7,112,0.9942
371,嘻嘻哇噻老火锅,临平区,餐饮服务;中餐厅;火锅店,4.7,113,0.9924
372,何记潮汕鱼生大排档,上城区,餐饮服务;中餐厅;中餐厅,4.7,113,0.9924
373,拙大师·龙虾四季排档(杭州北景园店),拱墅区,餐饮服务;中餐厅;海鲜酒楼|餐饮服务;中餐厅;火锅店,4.7,113,0.9924
374,T-yoogee,上城区,餐饮服务;餐饮相关场所;餐饮相关,4.7,114,0.9905
375,云上膈膜烧肉·酒场(星光大道店),滨江区,餐饮服务;外国餐厅;日本料理,4.7,114,0.9905
376,梅溪徐记鲜牛肉火锅·烧烤(西溪天街外街店),西湖区,餐饮服务;中餐厅;火锅店,4.7,114,0.9905
377,泉市鲜活牛肉店(百井坊店),拱墅区,餐饮服务;中餐厅;中餐厅,4.7,115,0.9887
378,浙C老邻舍海鲜餐厅(西城海错店),拱墅区,餐饮服务;中餐厅;海鲜酒楼,4.7,115,0.9887
379,江粤宴?江粤臻宴·品鲜融合,上城区,餐饮服务;中餐厅;广东菜(粤菜),4.7,116,0.9869
380,龙井茂居·西餐厅·下午茶,西湖区,餐饮服务;中餐厅;中餐厅,4.7,116,0.9869
381,李馆长深夜食堂(西湖店),西湖区,餐饮服务;中餐厅;中餐厅,4.7,116,0.9869
382,友·小海鲜bistro,拱墅区,餐饮服务;中餐厅;海鲜酒楼,4.7,116,0.9869
383,粤顺·顺德菜(迪凯?城星国际店),上城区,餐饮服务;中餐厅;广东菜(粤菜),4.7,117,0.9852
384,徽商故里(杭州店),西湖区,餐饮服务;中餐厅;安徽菜(徽菜),4.7,117,0.9852
385,Funloop芳麓·湖畔南欧餐厅(西湖天地店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.7,117,0.9852
386,入江南·金奖杭帮菜·浙江菜(虎跑店),西湖区,餐饮服务;餐饮相关场所;餐饮相关,4.7,118,0.9834
387,湘之荷·品质湘菜,拱墅区,餐饮服务;中餐厅;湖南菜(湘菜),4.7,118,0.9834
388,鸟剑居酒屋(中山北路店),拱墅区,餐饮服务;外国餐厅;日本料理,4.7,118,0.9834
389,鸟剑居酒屋(钱江世纪城店),萧山区,餐饮服务;外国餐厅;日本料理,4.7,118,0.9834
390,钱江渔村·渔浦佳宴(湘湖店),萧山区,餐饮服务;中餐厅;海鲜酒楼,4.7,118,0.9834
391,名人名家·浙菜(秋涛北路店),上城区,餐饮服务;中餐厅;综合酒楼|餐饮服务;中餐厅;浙江菜,4.7,120,0.98
392,海底捞火锅(金帝T-ONE MO店),萧山区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
393,马厂老火锅(杭州东站店),上城区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
394,郑阿公顺德鸡煲饭双皮奶(文一路店),西湖区,餐饮服务;中餐厅;中餐厅,4.7,120,0.98
395,海底捞火锅(杭州三花国际店),上城区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
396,海底捞火锅(杭州湖滨in77D区店),上城区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
397,海底捞火锅(杭州西湖夜宵主题店),上城区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
398,海底捞火锅(杭州滨江九宜城店),滨江区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
